"id","version","baseMean","log2FoldChange","lcfSE","stat","pvalue","padj","status"
"ENSMUSG00000066798","3",1113.5383670129,-0.236035761351364,0.147303811068218,-1.6023737582869,0.109072984140452,0.527777491956533,"NS"
"ENSMUSG00000027208","14",28.9514178883982,0.426868137628965,0.266330744872396,1.60277454198345,0.108984439345981,0.527777491956533,"NS"
"ENSMUSG00000042737","9",532.092195344507,0.277136995523771,0.172982442127901,1.6021105501497,0.109131165429375,0.527777491956533,"NS"
"ENSMUSG00000019338","13",966.239012669122,-0.234444882620253,0.14638566663307,-1.60155627263639,0.109253766899708,0.527777491956533,"NS"
"ENSMUSG00000028954","11",1879.02511586042,-0.217393393404807,0.135797520358554,-1.60086423397725,0.10940699280855,0.527777491956533,"NS"
"ENSMUSG00000036817","14",4785.87413960689,-0.190738722499926,0.119086754666391,-1.60167873441727,0.109226670026998,0.527777491956533,"NS"
"ENSMUSG00000029622","16",7223.0749183705,-0.319042036736352,0.19909103469489,-1.60249323745435,0.109046581761551,0.527777491956533,"NS"
"ENSMUSG00000031748","15",860.454802774587,-0.310999990155795,0.194183251520787,-1.60157988765835,0.109248541237528,0.527777491956533,"NS"
"ENSMUSG00000021208","9",32.8708695056959,0.410123376282055,0.255971725964528,1.60222139666664,0.109106660182345,0.527777491956533,"NS"
"ENSMUSG00000040818","9",2381.19903735644,-0.225003569776675,0.140369891753528,-1.60293327127268,0.108949387141958,0.527777491956533,"NS"
"ENSMUSG00000042354","6",1605.51699259359,0.293222004724541,0.183039784169243,1.60195777139587,0.109164947923541,0.527777491956533,"NS"
"ENSMUSG00000051212","7",103.951114029207,0.426296938399858,0.266263722780449,1.60103274283206,0.109369667227256,0.527777491956533,"NS"
"ENSMUSG00000062456","3",73.6417403668695,0.372671874741464,0.232792896202776,1.60087305420542,0.10940503883273,0.527777491956533,"NS"
"ENSMUSG00000025157","7",883.569444144145,0.216614092004291,0.135303633344648,1.60094807988288,0.109388419248931,0.527777491956533,"NS"
"ENSMUSG00000007892","7",15654.173549632,0.269050419379222,0.168146792492461,1.60009248699338,0.109578067448143,0.528417473519649,"NS"
"ENSMUSG00000026102","9",786.913863798255,-0.299834187652138,0.187476621632784,-1.599315077479,0.109750611029176,0.528606750423418,"NS"
"ENSMUSG00000038473","14",579.13024662234,-0.424654917373135,0.265491585100049,-1.59950424497675,0.109708606146255,0.528606750423418,"NS"
"ENSMUSG00000026839","16",219.166886030561,-0.399928414037724,0.250038079769376,-1.59947002635199,0.109716203493796,0.528606750423418,"NS"
"ENSMUSG00000020929","14",4355.89413949498,-0.172989178677417,0.108170749863375,-1.59922325486243,0.10977100493965,0.528606750423418,"NS"
"ENSMUSG00000022577","16",83.52032751659,-0.425839564610748,0.266332737430879,-1.59890056595564,0.109842698281329,0.528766914959596,"NS"
"ENSMUSG00000003380","11",15451.7253599847,0.268478699345214,0.167988899044156,1.59819310009671,0.110000008860654,0.529089805042671,"NS"
"ENSMUSG00000032178","13",1824.7209828949,-0.267687151749658,0.167505462297344,-1.59808013469123,0.110025144078142,0.529089805042671,"NS"
"ENSMUSG00000019846","11",24707.4515497731,-0.239876074642427,0.150081701958514,-1.59830326756778,0.109975500564179,0.529089805042671,"NS"
"ENSMUSG00000026675","12",3048.38498429978,-0.350495851599805,0.219386005744392,-1.59762173713199,0.110127185792618,0.529296237362403,"NS"
"ENSMUSG00000026779","6",124.854300501973,0.424378650842608,0.265671950003262,1.59737846181126,0.110181370524891,0.529296237362403,"NS"
"ENSMUSG00000025377","14",416.29446847064,0.296254646069072,0.185464131224258,1.59736895815638,0.110183487702131,0.529296237362403,"NS"
"ENSMUSG00000026383","14",1420.32099551421,-0.21854157852661,0.13685947585767,-1.59683191212779,0.1103031803957,0.529607232655742,"NS"
"ENSMUSG00000040712","16",1526.16351854148,-0.306408044848903,0.191896846726486,-1.59673308903107,0.1103252165134,0.529607232655742,"NS"
"ENSMUSG00000040054","15",3216.47080223214,-0.283630505538399,0.177710599112416,-1.59602469945521,0.110483278943704,0.530181008617887,"NS"
"ENSMUSG00000025484","9",2775.32977008126,0.207206470026905,0.129865925222307,1.59554147612012,0.110591202781099,0.530328953594408,"NS"
"ENSMUSG00000034471","12",630.134503395806,-0.271177119512187,0.169957404228592,-1.59555931524734,0.11058721708364,0.530328953594408,"NS"
"ENSMUSG00000044167","6",8712.1237988937,-0.247189793475455,0.154991716082854,-1.59485809772771,0.110743971665322,0.530506811341053,"NS"
"ENSMUSG00000031785","15",1661.52156584375,0.372656372288076,0.233635282330032,1.59503465645939,0.110704486096658,0.530506811341053,"NS"
"ENSMUSG00000038534","17",191.840750923142,-0.398720907187229,0.249985207811449,-1.59497800161025,0.110717155167227,0.530506811341053,"NS"
"ENSMUSG00000027887","11",63.9189336165811,0.422775960609888,0.265127518538702,1.59461365210256,0.110798657804926,0.530584035530864,"NS"
"ENSMUSG00000029772","17",45163.8706707196,0.206361229968494,0.129435942346174,1.59431164348914,0.110866251088576,0.530722993206901,"NS"
"ENSMUSG00000107505","1",43.121804323702,0.421542308596564,0.264462693807149,1.59395755419462,0.110945542135549,0.530733229729095,"NS"
