"GeneID"	"EPI_ADIPO_KO_840"	"EPI_ADIPO_KO_843"	"EPI_ADIPO_KO_857"	"EPI_ADIPO_KO_891"	"EPI_ADIPO_WT_841"	"EPI_ADIPO_WT_842"	"EPI_ADIPO_WT_858"	"EPI_ADIPO_WT_892"
"ENSMUSG00000091972.1"	0.843503939693431	0	0	0	0	0	0	1.93000411011274
"ENSMUSG00000022514.14"	158.578740662365	232.638219560273	116.510435297095	115.426805479608	304.591854739235	268.135905477988	145.683315518395	201.685429506781
"ENSMUSG00000029763.17"	775.180120578263	892.571128108802	5077.35832676843	3654.49510920258	1183.40151726494	893.786351593292	2942.80297347157	6475.16378942823
"ENSMUSG00000056423.7"	0	0	0	0	0	3.37277868525771	1.04059511084568	0
"ENSMUSG00000053054.13"	0	1.89908750661447	2.49665218493776	0	1.55404007520018	1.68638934262885	0	1.93000411011274
"ENSMUSG00000097218.7"	0	2.84863125992171	0	0	0	0	0	0
"ENSMUSG00000051065.8"	407.412402871927	398.808376389039	739.841264136556	613.204904110417	407.935519740047	382.81038077675	505.729223870998	882.01187832152
"ENSMUSG00000085968.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000022525.13"	231.120079476	238.335482080116	15.8121305046058	5.15298238748249	230.774951167227	234.408118625411	2.08119022169135	31.8450678168601
"ENSMUSG00000048939.13"	0	0	0	0	0	0	0	0
"ENSMUSG00000038094.15"	0.843503939693431	0	0	0	0	0	0	0
"ENSMUSG00000075286.3"	0	1.89908750661447	0	5.15298238748249	0	0	2.08119022169135	0
"ENSMUSG00000023176.8"	0	2.84863125992171	1.66443478995851	0	2.33106011280027	3.37277868525771	0	3.86000822022547
"ENSMUSG00000092190.1"	1.68700787938686	0.949543753307236	2.49665218493776	4.12238590998599	2.33106011280027	0	10.4059511084568	1.93000411011274
"ENSMUSG00000022120.3"	107.968504280759	74.0644127579644	127.329261431826	110.273823092125	101.789624925612	79.2602991035561	139.439744853321	119.66025482699
"ENSMUSG00000052316.9"	0.843503939693431	1.89908750661447	7.48995655481328	1.0305964774965	13.2093406392015	16.8638934262885	0	5.79001233033821
"ENSMUSG00000047953.6"	0.843503939693431	2.84863125992171	0	0	0.77702003760009	0	2.08119022169135	0
"ENSMUSG00000022538.19"	485.858269263416	501.359101746221	917.103569267137	962.57710998173	520.60342519206	544.70375766912	740.903718922121	815.426736522631
"ENSMUSG00000047434.13"	708.543309342482	644.740208495613	661.612829008507	609.082518200431	724.182675043284	591.922659262728	657.656110054467	817.356740632744
